,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
242,2015-09-14,5,,4.0,1.0,2.0,1.0,35.0,5.0,,,1.0,5.0,,,2.0,,2.0,,,,,,58
243,2015-09-15,5,,,,,,56.0,2.0,,,,1.0,,,1.0,,,,,,,,60
244,2015-09-16,5,,,,,,31.0,2.0,,,,,,,1.0,,,,,,,,34
245,2015-09-17,5,,,,,,32.0,6.0,,,,,,,,,,3.0,,,,1.0,42
246,2015-09-18,5,,,,,,18.0,1.0,,,,,,,,1.0,,,,,,,20
247,2015-09-19,3,,,,,,,,,,,,,,,,,,,,,,0
248,2015-09-20,5,,6.0,5.0,3.0,,88.0,,,,2.0,6.0,,,2.0,3.0,1.0,,2.0,,,,118
249,2015-09-21,4,,,2.0,2.0,,25.0,1.0,,,,,,,2.0,1.0,,,1.0,,,1.0,35
250,2015-09-22,5,,,,1.0,,50.0,1.0,,,2.0,1.0,,,1.0,,,,,,,,56
251,2015-09-23,5,,,3.0,,,27.0,,,,,,,,1.0,1.0,,,,,,,32
252,2015-09-24,5,,21.0,,3.0,,48.0,3.0,,,,6.0,,,2.0,2.0,2.0,,,,,,87
253,2015-09-25,4,,21.0,2.0,3.0,1.0,25.0,2.0,,,3.0,10.0,,,5.0,,,,,,,,72
254,2015-09-26,3,,5.0,,,,5.0,1.0,,,,4.0,,,,,1.0,,,,,,16
255,2015-09-27,2,,2.0,,,,,,,,,1.0,,,1.0,,,,,,,,4
256,2015-09-28,2,,,,,,,,,,,,,,,,,,,,,,0
257,2015-09-29,0,,,,,,,,,,,,,,,,,,,,,,0
258,2015-09-30,6,,228.0,1.0,20.0,10.0,43.0,3.0,,,1.0,9.0,,,9.0,2.0,1.0,,1.0,1.0,,3.0,332
261,2016-10-01,5,,,,,,3.0,1.0,,,,,,,,,,,,,,,4
262,2016-10-02,4,,,1.0,,,6.0,,,,,,,,,,,,,,,,7
263,2016-10-03,6,,54.0,2.0,,19.0,58.0,4.0,,,,1.0,,,6.0,1.0,6.0,,,1.0,,,152
264,2016-10-04,5,,19.0,,,,4.0,2.0,,,,4.0,,,1.0,,1.0,,,,,,31
265,2016-10-05,6,,,,,,,,,,,,,,,,,,,,,,0
266,2016-10-06,5,,2.0,,,,2.0,,,,,2.0,,,,1.0,,,,,,,7
267,2016-10-07,6,,12.0,,,1.0,4.0,2.0,,,,3.0,,,2.0,,,,,,,,24
268,2016-10-08,6,,173.0,2.0,,1.0,60.0,4.0,,2.0,2.0,16.0,,,14.0,,2.0,,1.0,1.0,,,278
269,2016-10-09,8,,1328.0,,2.0,5.0,156.0,4.0,,15.0,,170.0,,,15.0,3.0,7.0,,2.0,,,1.0,1708
270,2016-10-10,7,,747.0,2.0,1.0,,51.0,5.0,,2.0,1.0,22.0,,,11.0,,2.0,,3.0,,1.0,,848
271,2016-10-11,6,,,,,,5.0,,,1.0,,1.0,2.0,,,,,,,,,,9
272,2016-10-12,5,,,,,,,,,,,,,,,,1.0,,,,,,1
273,2016-10-13,7,,142.0,,,,34.0,3.0,,7.0,,10.0,,,,,,,,,,3.0,199
274,2016-10-14,6,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,3
275,2016-10-15,6,,1.0,,,,1.0,,,,,4.0,,1.0,,,,,,,,,7
276,2016-10-16,2,,,,,,,,,,,,,,,,,,,,,,0
277,2016-10-18,6,,33.0,,,,1.0,,,,,2.0,,,,,,,,,,,36
278,2016-10-19,6,,17.0,,,,1.0,,,,,2.0,,,,,,,,,,,20
279,2016-10-22,8,,418.0,,6.0,5.0,124.0,3.0,,27.0,,351.0,1.0,,2.0,,,,,,,,937
280,2016-10-23,6,,57.0,,,,19.0,,,2.0,,14.0,,,,,,,,,,,92
281,2016-10-24,8,,134.0,,2.0,4.0,36.0,2.0,,5.0,,17.0,1.0,2.0,,,,,,,,,203
282,2016-10-25,8,,230.0,,2.0,3.0,46.0,7.0,1.0,24.0,,101.0,2.0,,1.0,,,,6.0,,,,423
283,2016-10-26,6,,41.0,,2.0,1.0,7.0,9.0,,31.0,,,,1.0,,,,3.0,,,,1.0,96
284,2016-10-28,7,,19.0,,,,3.0,1.0,,1.0,,20.0,,,,,,,1.0,,1.0,,46
285,2016-10-29,4,,,,,,,,,,,,,1.0,,,,1.0,,,,,2
286,2016-10-30,4,,13.0,,,,,,,,,2.0,,,,1.0,,,,,,1.0,17
287,2016-10-31,7,,35.0,,,,1.0,1.0,,1.0,,23.0,,,,,,1.0,,,,,62
290,2016-11-01,3,,,,,,,,,,,,,,,1.0,,,,,,,1
291,2016-11-02,6,,15.0,,,,,,,,,2.0,,,,,,,,,,,17
292,2016-11-03,7,,19.0,,,,3.0,,,2.0,,10.0,2.0,,,,,,1.0,,,2.0,39
293,2016-11-06,5,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,3
294,2016-11-07,6,,,,,,,,,,,,,,,,,,,,,,0
295,2016-11-08,4,,,,,,,,,,,1.0,,,,,,,,,,,1
296,2016-11-09,6,,13.0,,,,2.0,,,,,67.0,1.0,1.0,,1.0,1.0,,,,,1.0,87
297,2016-11-11,6,,,,,,8.0,3.0,,1.0,,45.0,,,,1.0,,1.0,1.0,,,,60
298,2016-11-12,5,,,,,,,,,,,,,,,,,,,,,,0
299,2016-11-13,4,,,,,,,,,,,,,,,,,,,,,,0
300,2016-11-14,4,,,,,,,,,,,,,,,,,,,,,,0
301,2016-11-15,4,,,,,,,,,,,,,,,,,,,,,,0
302,2016-11-16,1,,,,,,,,,,,,,,,,,,,,,,0
303,2016-11-20,2,,,,,,,,,,,2.0,,,,,,,,,,,2
304,2016-11-22,4,,,,,,,,,,,,,,,,,,,,,,0
305,2016-11-23,4,,,,,,,,,,,,,,,,,,,,,,0
306,2016-11-26,3,,,,,,,,,,2.0,,,,,,,,,,,,2
307,2016-11-27,5,,,,,,,,,,,,,,,,,,,,,,0
308,2016-11-28,4,,,,1.0,,,,,,,,,,,,,,,,,,1
309,2016-11-29,4,,,,,,,,,,,,,,,1.0,,,,,,,1
310,2016-11-30,0,,,,,,,,,,,,,,,,,,,,,,0
313,2016-09-01,6,,6.0,,2.0,,32.0,4.0,,,12.0,14.0,,,11.0,,,2.0,4.0,,,,87
314,2016-09-02,4.5,,6.0,2.0,7.0,,20.0,1.0,,,6.0,9.0,,,,,,1.0,1.0,,,2.0,55
315,2016-09-03,4,,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,5
316,2016-09-04,3,,,,,,,,,,,,,,,,,,,,,,0
317,2016-09-05,3,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,3
318,2016-09-06,4,,,,,,,,,,,,,,,,,,,,,,0
319,2016-09-07,4,,,,,,,,,,,,,,,,,,,,,,0
320,2016-09-08,4,,,,,,,,,,,1.0,,,,,,,,,,,1
321,2016-09-09,5,,6.0,,,1.0,6.0,,,,,3.0,,,8.0,2.0,,,,,,,26
322,2016-09-10,0,,,,,,,,,,,,,,,,,,,,,,0
