,Date,Obs Hrs,BV,TV,OS,BE,NH,SS,CH,AG,RS,BW,RT,RL,GE,AK,ML,PG,UA,UB,UF,UE,UR,TOTAL
662,2021-10-27,7,,283.0,,6.0,,2.0,1.0,,2.0,,57.0,1.0,,,,,1.0,9.0,5.0,2.0,,369
663,2021-10-28,3,,,,,,,,,,,,,,,,,,,,,,0
664,2021-10-31,4.25,,9.0,,,,3.0,,,,,3.0,,,,,,,,,,,15
667,2021-11-03,7,,46.0,,,1.0,2.0,1.0,,2.0,,30.0,,,,,,,3.0,,,,85
668,2021-11-05,5.5,,81.0,,,,,,,,,21.0,,,,1.0,,,5.0,,,,108
669,2021-11-09,4,,,,1.0,4.0,3.0,,,,,8.0,1.0,1.0,,1.0,,,,,,,19
670,2021-11-15,4,,,,,,2.0,1.0,,,,,,,,,,,,,,,3
671,2021-11-16,3,,,,,,1.0,1.0,,1.0,,18.0,,1.0,,1.0,,,,,,,23
672,2021-11-19,4.5,,,,1.0,1.0,,1.0,,,,25.0,1.0,,,,,,,,,2.0,31
673,2021-11-22,3,,,,,,3.0,,,,,16.0,,,,,,,,,,,19
674,2021-11-29,2,,,,,,,,,,,,,,,,,,,,,,0
677,2021-09-01,5,,10.0,,20.0,2.0,1.0,2.0,,,3.0,,,,5.0,,,,,,,2.0,45
678,2021-09-02,5.5,,12.0,1.0,4.0,1.0,11.0,,,,259.0,5.0,,,7.0,1.0,,,13.0,,,3.0,317
679,2021-09-03,2.5,,3.0,,1.0,1.0,4.0,,,,3.0,,,,,,,,,,,,12
680,2021-09-04,2,,,,,,,,,,6.0,,,,,,,,,,,2.0,8
681,2021-09-05,3.25,,1.0,,,,1.0,,,,4.0,2.0,,,3.0,,1.0,,2.0,,,,14
682,2021-09-09,6,,,,1.0,,2.0,,,,5.0,,,,1.0,,2.0,,,,,,11
683,2021-09-12,3,,,,,,,,,,,,,,,,,,,,,,0
684,2021-09-13,5,,,,4.0,2.0,37.0,2.0,,,5.0,14.0,,,6.0,1.0,,1.0,,1.0,,,73
685,2021-09-15,4,,5.0,2.0,3.0,2.0,51.0,2.0,,,931.0,2.0,,,13.0,3.0,,1.0,4.0,1.0,,2.0,1022
686,2021-09-18,9,,37.0,1.0,3.0,3.0,82.0,5.0,,3.0,80.0,2.0,,,28.0,1.0,1.0,3.0,1.0,1.0,,7.0,258
687,2021-09-19,6,,23.0,,2.0,,10.0,,,,,,,,,,,,,,,,35
688,2021-09-21,2.5,,,,,,1.0,,,,,,,,,,,,,,,,1
689,2021-09-28,6.25,,353.0,1.0,8.0,6.0,276.0,8.0,,1.0,71.0,17.0,1.0,,43.0,3.0,4.0,,4.0,,1.0,4.0,801
690,2021-09-29,5,,221.0,,2.0,2.0,58.0,2.0,,2.0,4.0,7.0,,,1.0,1.0,1.0,,1.0,1.0,,5.0,308
691,2021-09-30,4.5,,167.0,,1.0,8.0,28.0,2.0,,2.0,1.0,12.0,,,1.0,,1.0,,,,,2.0,225
694,2022-10-05,3.5,,41.0,,,,3.0,1.0,,,,1.0,,,1.0,1.0,,,,,,,48
695,2022-10-07,7.25,,258.0,,,,32.0,2.0,,,,15.0,,,8.0,1.0,2.0,,1.0,,,,319
696,2022-10-12,2,,,,,,1.0,,,,,,,,,,,,,,,,1
697,2022-10-19,3.5,,86.0,,,,3.0,2.0,,,,3.0,,,,2.0,,,,,,,96
698,2022-10-27,8.75,,426.0,,13.0,,6.0,4.0,1.0,27.0,,285.0,,3.0,2.0,,3.0,,30.0,,1.0,,801
701,2022-11-01,2.5,,,,,,1.0,,,,,9.0,,,,1.0,,,,,,,11
702,2022-11-02,2.5,,2.0,,,,,,,,,,,,,,,,,,,,2
703,2022-11-07,5,1.0,10.0,,2.0,,,5.0,,,,34.0,,4.0,,,,,,,,,56
704,2022-11-08,7.5,,9.0,,7.0,,,1.0,1.0,3.0,,52.0,,,,,,1.0,2.0,,1.0,,77
705,2022-11-12,3.5,,,,,,,,,,,2.0,,,,,,,,,,,2
706,2022-11-13,6,,,,,,2.0,,,1.0,,9.0,,1.0,,,,,2.0,1.0,,,16
707,2022-11-17,4,,1.0,,,,,,,,,6.0,,,,,,,,,,,7
710,2022-09-01,6.5,,6.0,5.0,7.0,,3.0,1.0,,,7.0,8.0,,,2.0,2.0,1.0,,,,,,42
711,2022-09-02,2.5,,,,,,,,,,,,,,,,,,,,,,0
712,2022-09-05,4,,6.0,6.0,2.0,,,,,,1.0,1.0,,,,1.0,,,,,,,17
713,2022-09-06,6,,9.0,,21.0,1.0,12.0,,,,13.0,2.0,,,4.0,,1.0,,3.0,,,,66
714,2022-09-08,3,,,2.0,2.0,,3.0,,,,,1.0,,,4.0,,,,2.0,,,1.0,15
715,2022-09-13,1,,,,,,,,,,,,,,,,,,,,,,0
716,2022-09-14,7.5,,9.0,12.0,9.0,17.0,201.0,,,,2714.0,14.0,,,91.0,10.0,2.0,,5.0,3.0,,1.0,3088
717,2022-09-15,2,,,1.0,,,2.0,,,,,,,,,,,,2.0,,,1.0,6
718,2022-09-20,8,,14.0,1.0,10.0,6.0,346.0,6.0,,1.0,375.0,11.0,,,76.0,5.0,1.0,,,,,8.0,860
719,2022-09-21,2,,,,,,2.0,1.0,,,,2.0,,,1.0,,,,,,,,6
720,2022-09-22,8,,57.0,2.0,4.0,5.0,218.0,3.0,,1.0,602.0,14.0,,,38.0,1.0,,,3.0,,,,948
721,2022-09-23,8,,324.0,,12.0,9.0,382.0,,,1.0,3166.0,8.0,,,38.0,,,,1.0,,,6.0,3947
722,2022-09-28,4.25,,111.0,1.0,5.0,9.0,127.0,12.0,,1.0,30.0,18.0,,,28.0,2.0,5.0,4.0,1.0,,,9.0,363
723,2022-09-29,5.75,,450.0,,16.0,6.0,51.0,,1.0,,9.0,12.0,,,16.0,1.0,2.0,,1.0,1.0,,8.0,574
